China;gt1,439,323,776;gt0.39 %;gt5,540,090;gt153;gt9,388,211;gt-348,399;gt1.7;gt38;gt61 %;gt18.47 %
India;gt1,380,004,385;gt0.99 %;gt13,586,631;gt464;gt2,973,190;gt-532,687;gt2.2;gt28;gt35 %;gt17.70 %
United States;gt331,002,651;gt0.59 %;gt1,937,734;gt36;gt9,147,420;gt954,806;gt1.8;gt38;gt83 %;gt4.25 %
Indonesia;gt273,523,615;gt1.07 %;gt2,898,047;gt151;gt1,811,570;gt-98,955;gt2.3;gt30;gt56 %;gt3.51 %
Pakistan;gt220,892,340;gt2.00 %;gt4,327,022;gt287;gt770,880;gt-233,379;gt3.6;gt23;gt35 %;gt2.83 %
Brazil;gt212,559,417;gt0.72 %;gt1,509,890;gt25;gt8,358,140;gt21,200;gt1.7;gt33;gt88 %;gt2.73 %
Nigeria;gt206,139,589;gt2.58 %;gt5,175,990;gt226;gt910,770;gt-60,000;gt5.4;gt18;gt52 %;gt2.64 %
Bangladesh;gt164,689,383;gt1.01 %;gt1,643,222;gt1,265;gt130,170;gt-369,501;gt2.1;gt28;gt39 %;gt2.11 %
Russia;gt145,934,462;gt0.04 %;gt62,206;gt9;gt16,376,870;gt182,456;gt1.8;gt40;gt74 %;gt1.87 %
Mexico;gt128,932,753;gt1.06 %;gt1,357,224;gt66;gt1,943,950;gt-60,000;gt2.1;gt29;gt84 %;gt1.65 %
Japan;gt126,476,461;gt-0.30 %;gt-383,840;gt347;gt364,555;gt71,560;gt1.4;gt48;gt92 %;gt1.62 %
Ethiopia;gt114,963,588;gt2.57 %;gt2,884,858;gt115;gt1,000,000;gt30,000;gt4.3;gt19;gt21 %;gt1.47 %
Philippines;gt109,581,078;gt1.35 %;gt1,464,463;gt368;gt298,170;gt-67,152;gt2.6;gt26;gt47 %;gt1.41 %
Egypt;gt102,334,404;gt1.94 %;gt1,946,331;gt103;gt995,450;gt-38,033;gt3.3;gt25;gt43 %;gt1.31 %
Vietnam;gt97,338,579;gt0.91 %;gt876,473;gt314;gt310,070;gt-80,000;gt2.1;gt32;gt38 %;gt1.25 %
DR Congo;gt89,561,403;gt3.19 %;gt2,770,836;gt40;gt2,267,050;gt23,861;gt6.0;gt17;gt46 %;gt1.15 %
